역명,위도,경도,자치구명
대청,37.493514,127.079532,강남구
일원,37.483681,127.08439,강남구
수서,37.487378,127.101907,강남구
가락시장,37.492245,127.117757,송파구
경찰병원,37.495918,127.12454,송파구
오금,37.502129,127.128319,송파구
당고개,37.670272,127.079066,노원구
별내별가람,37.66778,127.11581,남양주시
오남,37.705,127.19281,남양주시
진접,37.7205,127.2034,남양주시
상계,37.660878,127.073572,노원구
노원,37.65627,127.063276,노원구
쌍문,37.648627,127.034709,도봉구
수유,37.638052,127.025732,강북구
미아,37.62667,127.025983,강북구
미아사거리,37.613292,127.030053,강북구
길음,37.603407,127.025053,성북구
성신여대입구,37.592612,127.016441,성북구
한성대입구,37.588458,127.006221,성북구
혜화,37.582336,127.001844,종로구
명동,37.560989,126.986325,중구
회현,37.558514,126.978246,중구
숙대입구,37.54456,126.972106,용산구
삼각지,37.534075,126.9726,용산구
신용산,37.52917,126.967894,용산구
이촌,37.522295,126.974733,용산구
동작,37.502852,126.980347,동작구
이수,37.486263,126.981989,동작구
남태령,37.463873,126.989134,서초구
선바위,37.451673,127.002303,과천시
경마공원,37.443885,127.007888,과천시
대공원,37.435675,127.006523,과천시
과천,37.433021,126.996568,과천시
정부과천청사,37.426513,126.98978,과천시
인덕원,37.401553,126.976715,안양시 동안구
평촌,37.394287,126.963883,안양시 동안구
범계,37.389793,126.950806,안양시 동안구
산본,37.358101,126.933274,군포시
수리산,37.349801,126.925365,군포시
대야미,37.328467,126.917332,군포시
반월,37.312212,126.903524,안산시 상록구
상록수,37.302795,126.866489,안산시 상록구
한대앞,37.309689,126.85344,안산시 상록구
중앙,37.315941,126.838573,안산시 단원구
고잔,37.316784,126.823144,안산시 단원구
초지,37.320646,126.805913,안산시 단원구
안산,37.327082,126.788532,안산시 단원구
신길온천,37.338212,126.765844,안산시 단원구
정왕,37.351735,126.742989,시흥시
오이도,37.362357,126.738714,시흥시
방화,37.577446,126.812741,강서구
개화산,37.572399,126.806171,강서구
김포공항,37.562384,126.801292,강서구
송정,37.561184,126.811973,강서구
마곡,37.560183,126.825448,강서구
발산,37.558598,126.837668,강서구
우장산,37.548768,126.836318,강서구
화곡,37.541513,126.840461,강서구
신정,37.524997,126.856191,양천구
목동,37.526065,126.864931,양천구
오목교,37.524496,126.875181,양천구
양평,37.525569,126.886129,영등포구
영등포시장,37.522669,126.905139,영등포구
여의도,37.521747,126.924357,영등포구
여의나루,37.527098,126.932901,영등포구
마포,37.539574,126.945932,마포구
공덕,37.544431,126.951372,마포구
애오개,37.553736,126.95682,마포구
서대문,37.565773,126.966641,서대문구
광화문,37.571525,126.97717,종로구
청구,37.560276,127.013639,중구
신금호,37.554548,127.020331,성동구
행당,37.557322,127.029476,성동구
마장,37.5661,127.042973,성동구
답십리,37.566747,127.052704,성동구
장한평,37.56144,127.064623,성동구
군자,37.557088,127.079577,광진구
아차산,37.551691,127.089761,광진구
광나루,37.545303,127.10357,광진구
천호,37.53864,127.123308,송파구
강동,37.535804,127.132481,강동구
길동,37.537801,127.140004,강동구
굽은다리,37.545477,127.142853,강동구
명일,37.55137,127.143999,강동구
고덕,37.555004,127.154151,강동구
상일동,37.556712,127.166417,강동구
둔촌동,37.527788,127.136248,강동구
올림픽공원,37.516201,127.130923,송파구
방이,37.508857,127.126133,송파구
개롱,37.498079,127.13482,송파구
